"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Product Category","Status"
"shorts-manchester-city-branca","Shorts Manchester City Branca","<h2>Shorts Manchester City Branca</h2>
<p>Camisa inspirada no uniforme do Manchester City. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Manchester City, Camisa Manchester City, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Title","Default Title","","","381848183818381","200","shopify","1","deny","manual","80.00","","TRUE","TRUE","","1","Shorts Manchester City Branca","FALSE","Shorts Manchester City Branca | Deroche Mantos","Compre Shorts Manchester City Branca na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"shorts-manchester-united-branco","Shorts Manchester United Branco","<h2>Shorts Manchester United Branco</h2>
<p>Camisa inspirada no uniforme do Manchester United. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Manchester United, Camisa Manchester United, Camisas Futebol, Branco, Masculino, Futebol, Brasileirão","TRUE","Title","Default Title","","","38182818382","200","shopify","1","deny","manual","90.00","","TRUE","TRUE","","1","Shorts Manchester United Branco","FALSE","Shorts Manchester United Branco | Deroche Mantos","Compre Shorts Manchester United Branco na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"ajax-bob-marley","Ajax Bob Marley","<h2>Ajax Bob Marley</h2>
<p>Camisa inspirada no uniforme do Ajax. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Ajax, Camisa Ajax, Camisas Futebol, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","283818292-P","200","shopify","1","deny","manual","129.90","","TRUE","TRUE","","1","Ajax Bob Marley","FALSE","Ajax Bob Marley | Deroche Mantos","Compre Ajax Bob Marley na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"al-hilal-azul-2023-24-neymar-jr","Al-Hilal Azul 2023/24 #Neymar Jr.","<h2>Al-Hilal Azul 2023/24 #Neymar Jr.</h2>
<p>Camisa inspirada no uniforme do Al-Hilal temporada 2023/24. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Al-Hilal, Camisa Al-Hilal, 2023/24, Camisas Futebol, Azul, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","283993943-P","200","shopify","6","deny","manual","119.90","","TRUE","TRUE","","1","Al-Hilal Azul 2023/24 #Neymar Jr.","FALSE","Al-Hilal Azul 2023/24 #Neymar Jr. | Deroche Mantos","Compre Al-Hilal Azul 2023/24 #Neymar Jr. na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"al-hilal-azul-2023-24-neymar-jr","","","","","","","","Tamanho","M","","","283993943-M","200","shopify","1","deny","manual","119.90","","TRUE","TRUE","","","","","","","",""
"al-hilal-branca-2023-24-neymar-jr","Al-Hilal Branca 2023/24 #Neymar Jr.","<h2>Al-Hilal Branca 2023/24 #Neymar Jr.</h2>
<p>Camisa inspirada no uniforme do Al-Hilal temporada 2023/24. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Al-Hilal, Camisa Al-Hilal, 2023/24, Camisas Futebol, Branca, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","29490291-P","200","shopify","2","deny","manual","119.90","","TRUE","TRUE","","1","Al-Hilal Branca 2023/24 #Neymar Jr.","FALSE","Al-Hilal Branca 2023/24 #Neymar Jr. | Deroche Mantos","Compre Al-Hilal Branca 2023/24 #Neymar Jr. na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"al-hilal-branca-2023-24-neymar-jr","","","","","","","","Tamanho","M","","","29490291-M","200","shopify","1","deny","manual","119.90","","TRUE","TRUE","","","","","","","",""
"al-nassr-amarela-2022-23","Al-Nassr Amarela 2022/23","<h2>Al-Nassr Amarela 2022/23</h2>
<p>Camisa inspirada no uniforme do Al-Nassr temporada 2022/23. Confeccionada em tecido Dry Fit Premium, com excelente acabamento. Ideal para torcedores e colecionadores.</p>
<h3>Diferenciais</h3>
<ul>
<li>Tecido Dry Fit Premium</li>
<li>Costura reforçada</li>
<li>Escudo bordado</li>
<li>Alta respirabilidade</li>
<li>Excelente acabamento</li>
</ul>","Deroche","Vestuário e acessórios > Roupas > Camisas e blusas","Camisas Futebol","Al-Nassr, Camisa Al-Nassr, 2022/23, Camisas Futebol, Amarela, Masculino, Futebol, Brasileirão","TRUE","Tamanho","P","","","2782348373-P","200","shopify","1","deny","manual","89.00","","TRUE","TRUE","","1","Al-Nassr Amarela 2022/23","FALSE","Al-Nassr Amarela 2022/23 | Deroche Mantos","Compre Al-Nassr Amarela 2022/23 na Deroche Mantos. Tecido premium, pronta entrega. Pix com desconto e parcelamento em até 12x.","Vestuário e acessórios > Roupas > Camisas e blusas","active"
"al-nassr-amarela-2022-23","","","","","","","","Tamanho","M","","","2782348373-M","200","shopify","2","deny","manual","89.00","","TRUE","TRUE","","","","","","","",""
"amostra-asad-tradicional","Amostra Asad Tradicional","<h2>Amostra Asad Tradicional</h2>
<p>Amostra Asad Tradicional — fragrância importada de alta fixação, ideal para uso diário ou ocasiões especiais.</p>
<h3>Diferenciais</h3>
<ul>
<li>Fragrância importada</li>
<li>Alta fixação</li>
<li>Frasco original</li>
<li>Ideal para presentear</li>
</ul>","Deroche Perfumes","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","Perfumes","Perfumes, Masculino, Perfume Importado","TRUE","Title","Default Title","","","2848584","400","shopify","3","deny","manual","50.00","","TRUE","TRUE","","1","Amostra Asad Tradicional","FALSE","Amostra Asad Tradicional | Deroche Mantos","Compre Amostra Asad Tradicional na Deroche Mantos. Qualidade garantida, pronta entrega. Pix com desconto e parcelamento em até 12x.","Beleza e cuidados pessoais > Perfumes e cosméticos > Perfume","active"
