Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
airbrush-cap,Airbrush Cap,<p>Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.</p><ul><li>Categoria: Caps</li></ul>,Dona Bomba,Caps,Caps,TRUE,Cor,Padrão,airbrush-cap,,shopify,10,deny,manual,4.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/airbrush-cap.jpg,1,Airbrush Cap,FALSE,Airbrush Cap | Dona Bomba,Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.,kg,active
colorgin-arte-urbana-400ml,COLORGIN ARTE URBANA 400ML,"<p>Tintas spray de alta cobertura pra grafite, arte urbana e customização. Secagem rápida, baixa pressão e cartela de cores extensa. Cores aproximadas — a cor exata pode variar de tela pra tela.</p><ul><li>Cores: 83 cores</li><li>Acabamento: Brilhante</li><li>Capacidade: 400ml</li></ul>",Colorgin,Sprays,Sprays,TRUE,Cor,ALGODÃO 942,colorgin-arte-urbana-400ml-942,,shopify,10,deny,manual,30.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/spray-colorgin-arte-urbana-unidade.jpg,1,COLORGIN ARTE URBANA 400ML,FALSE,COLORGIN ARTE URBANA 400ML | Dona Bomba,"Tintas spray de alta cobertura pra grafite, arte urbana e customização. Secagem rápida, baixa pressão e cartela de cores extensa. Cores aproximadas — a cor e...",kg,active
colorgin-arte-urbana-400ml,,,,,,,,AMARELO BAUNILHA 913,colorgin-arte-urbana-400ml-913,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AMARELO CANARIO 912,colorgin-arte-urbana-400ml-912,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AMARELO IPANEMA 948,colorgin-arte-urbana-400ml-948,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AMARELO LIMÃO 914,colorgin-arte-urbana-400ml-914,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AMARELO SOL 915,colorgin-arte-urbana-400ml-915,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AQUARIO 982,colorgin-arte-urbana-400ml-982,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AREIA 949,colorgin-arte-urbana-400ml-949,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AVELÃ 950,colorgin-arte-urbana-400ml-950,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL ATLÂNTICO 984,colorgin-arte-urbana-400ml-984,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL BEBÊ 978,colorgin-arte-urbana-400ml-978,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL CELESTE 965,colorgin-arte-urbana-400ml-965,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL CÉU 923,colorgin-arte-urbana-400ml-923,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL CHUVA 928,colorgin-arte-urbana-400ml-928,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL EUROPÉIA 924,colorgin-arte-urbana-400ml-924,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,AZUL MACKENZIE 927,colorgin-arte-urbana-400ml-927,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
