Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
airbrush-cap,Airbrush Cap,<p>Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.</p><ul><li>Categoria: Caps</li></ul>,Dona Bomba,Caps,Caps,TRUE,Cor,Padrão,airbrush-cap,,shopify,10,deny,manual,4.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/airbrush-cap.jpg,1,Airbrush Cap,FALSE,Airbrush Cap | Dona Bomba,Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.,kg,active
astro-fatcap,Astro Fatcap,<p>Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.</p><ul><li>Categoria: Caps</li></ul>,Dona Bomba,Caps,Caps,TRUE,Cor,Padrão,astro-fatcap,,shopify,10,deny,manual,4.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/astro-fatcap.jpg,1,Astro Fatcap,FALSE,Astro Fatcap | Dona Bomba,Válvulas e caps intercambiáveis pra controlar espessura e alcance do jato — do fat cap ao skinny.,kg,active
big-dripper-hubik,BIG DRIPPER HUBIK®,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Marcadores</li></ul>",Hubik,Marcadores,Marcadores,TRUE,Cor,Padrão,big-dripper-hubik,,shopify,10,deny,manual,32.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/big-dripper-hubik.jpg,1,BIG DRIPPER HUBIK®,FALSE,BIG DRIPPER HUBIK® | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
borrifador-de-compressao-guarany-1-25l,"Borrifador de Compressão Guarany 1,25L","<p>Luvas, máscaras e itens de proteção e apoio pra quem pinta na rua ou no estúdio.</p><ul><li>Categoria: Acessórios</li></ul>",Guarany,Acessórios,Acessórios,TRUE,Cor,Padrão,borrifador-de-compressao-guarany-1-25l,,shopify,10,deny,manual,85.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/borrifador-de-compressao-guarany-1-25l.jpg,1,"Borrifador de Compressão Guarany 1,25L",FALSE,"Borrifador de Compressão Guarany 1,25L | Dona Bomba","Luvas, máscaras e itens de proteção e apoio pra quem pinta na rua ou no estúdio.",kg,active
caneta-color-marker-base-oleo-acrilex,Caneta Color  Marker (Base Óleo) - Acrilex,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Marcadores</li></ul>",Acrilex,Marcadores,Marcadores,TRUE,Cor,Padrão,caneta-color-marker-base-oleo-acrilex,,shopify,10,deny,manual,15.90,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-color-marker-base-oleo-acrilex.jpg,1,Caneta Color  Marker (Base Óleo) - Acrilex,FALSE,Caneta Color  Marker (Base Óleo) - Acrilex | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-17k,Caneta Marcador Acrílica Posca PC 17K,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-17k,,shopify,10,deny,manual,79.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-17k.jpg,1,Caneta Marcador Acrílica Posca PC 17K,FALSE,Caneta Marcador Acrílica Posca PC 17K | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-1m,Caneta Marcador Acrílica Posca PC 1M,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-1m,,shopify,10,deny,manual,29.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-1m.jpg,1,Caneta Marcador Acrílica Posca PC 1M,FALSE,Caneta Marcador Acrílica Posca PC 1M | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-3m,Caneta Marcador Acrílica Posca PC 3M,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-3m,,shopify,10,deny,manual,29.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-3m.jpg,1,Caneta Marcador Acrílica Posca PC 3M,FALSE,Caneta Marcador Acrílica Posca PC 3M | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-5m,Caneta Marcador Acrílica Posca PC 5M,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-5m,,shopify,10,deny,manual,29.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-5m.jpg,1,Caneta Marcador Acrílica Posca PC 5M,FALSE,Caneta Marcador Acrílica Posca PC 5M | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-7m,Caneta Marcador Acrílica Posca PC 7M,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-7m,,shopify,10,deny,manual,42.90,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-7m.jpg,1,Caneta Marcador Acrílica Posca PC 7M,FALSE,Caneta Marcador Acrílica Posca PC 7M | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-acrilica-posca-pc-8k,Caneta Marcador Acrílica Posca PC 8K,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Posca,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-acrilica-posca-pc-8k,,shopify,10,deny,manual,39.00,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-acrilica-posca-pc-8k.jpg,1,Caneta Marcador Acrílica Posca PC 8K,FALSE,Caneta Marcador Acrílica Posca PC 8K | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-permanente-uni-paint-marker-px-20,Caneta Marcador Permanente Uni Paint Marker PX-20,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Uni,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-permanente-uni-paint-marker-px-20,,shopify,10,deny,manual,32.90,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-permanente-uni-paint-marker-px-20.jpg,1,Caneta Marcador Permanente Uni Paint Marker PX-20,FALSE,Caneta Marcador Permanente Uni Paint Marker PX-20 | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
caneta-marcador-permanente-uni-paint-marker-px-21,Caneta Marcador Permanente Uni Paint Marker PX-21,"<p>Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.</p><ul><li>Categoria: Canetas</li></ul>",Uni,Canetas,Canetas,TRUE,Cor,Padrão,caneta-marcador-permanente-uni-paint-marker-px-21,,shopify,10,deny,manual,27.90,,TRUE,TRUE,https://public-delta-lyart-86.vercel.app/img/produtos/caneta-marcador-permanente-uni-paint-marker-px-21.jpg,1,Caneta Marcador Permanente Uni Paint Marker PX-21,FALSE,Caneta Marcador Permanente Uni Paint Marker PX-21 | Dona Bomba,"Marcadores de ponta grossa e fina pra escrita, contorno e preenchimento em qualquer superfície.",kg,active
