Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status
oculos-flak-2-1,Flak 2.0,"<p>Performance pura — feito pra trilha, praia e street.</p><p>Óculos Flak 2.0 com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-performance",TRUE,Cor,Branca Lente Tanzanite,ML-OCULOS-FLAK-2-1-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/flak-2/branca-lente-tanzanite.jpg,1,Flak 2.0 — Branca Lente Tanzanite,https://site-pi-six-62.vercel.app/assets/produtos/flak-2/branca-lente-tanzanite.jpg,FALSE,Flak 2.0 — Monster Lupas,"Performance pura — feito pra trilha, praia e street.",active
oculos-flak-2-1,,,,,,,,,Preta Lente Azul,ML-OCULOS-FLAK-2-1-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/flak-2/preta-lente-azul.jpg,2,Flak 2.0 — Preta Lente Azul,https://site-pi-six-62.vercel.app/assets/produtos/flak-2/preta-lente-azul.jpg,,,,
oculos-eye-jacket-2,Eye Jacket,"<p>Minimalista e discreto — edição especial com o dobro de cores.</p><p>Óculos Eye Jacket com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,categoria-classica,TRUE,Cor,Cinza Lente Espelhada,ML-OCULOS-EYE-JACKET-2-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/eye-jacket/cinza-lente-espelhada.jpg,1,Eye Jacket — Cinza Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/eye-jacket/cinza-lente-espelhada.jpg,FALSE,Eye Jacket — Monster Lupas,Minimalista e discreto — edição especial com o dobro de cores.,active
oculos-eye-jacket-2,,,,,,,,,Cinza Lente G26,ML-OCULOS-EYE-JACKET-2-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/eye-jacket/cinza-lente-g26.jpg,2,Eye Jacket — Cinza Lente G26,https://site-pi-six-62.vercel.app/assets/produtos/eye-jacket/cinza-lente-g26.jpg,,,,
oculos-dartboard-1,Dartboard,"<p>Statement bold — a peça mais exclusiva da coleção.</p><p>Óculos Dartboard com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,categoria-classica,TRUE,Cor,Degrade Preta,ML-OCULOS-DARTBOARD-1-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/dartboard/degrade-preta.jpg,1,Dartboard — Degrade Preta,https://site-pi-six-62.vercel.app/assets/produtos/dartboard/degrade-preta.jpg,FALSE,Dartboard — Monster Lupas,Statement bold — a peça mais exclusiva da coleção.,active
oculos-dartboard-1,,,,,,,,,Prata Lente Espelhada,ML-OCULOS-DARTBOARD-1-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/dartboard/prata-lente-espelhada.jpg,2,Dartboard — Prata Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/dartboard/prata-lente-espelhada.jpg,,,,
coilover,Coilover,"<p>A ""óculos da molinha"" — design mecânico exclusivo com molas nas hastes.</p><p>Óculos Coilover com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-streetwear, colecao-novidades, colecao-performance",TRUE,Cor,Black Haste Preta,ML-COILOVER-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/coilover/black-haste-preta.jpg,1,Coilover — Black Haste Preta,https://site-pi-six-62.vercel.app/assets/produtos/coilover/black-haste-preta.jpg,FALSE,Coilover — Monster Lupas,"A ""óculos da molinha"" — design mecânico exclusivo com molas nas hastes.",active
coilover,,,,,,,,,Plasma Haste Preta,ML-COILOVER-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/coilover/plasma-haste-preta.jpg,2,Coilover — Plasma Haste Preta,https://site-pi-six-62.vercel.app/assets/produtos/coilover/plasma-haste-preta.jpg,,,,
de-soto,De Soto,"<p>Inspiração retrô dos anos 60 com tecnologia e design premium.</p><p>Óculos De Soto com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Azul Lentes Espelhada,ML-DE-SOTO-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/de-soto/azul-lentes-espelhada.jpg,1,De Soto — Azul Lentes Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/de-soto/azul-lentes-espelhada.jpg,FALSE,De Soto — Monster Lupas,Inspiração retrô dos anos 60 com tecnologia e design premium.,active
de-soto,,,,,,,,,Carbon Lentes Black,ML-DE-SOTO-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/de-soto/carbon-lentes-black.jpg,2,De Soto — Carbon Lentes Black,https://site-pi-six-62.vercel.app/assets/produtos/de-soto/carbon-lentes-black.jpg,,,,
double-x-24k,Double X 24K,"<p>Linha X-Metal com acabamento texturizado que simula ouro 24k.</p><p>Óculos Double X 24K com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades, colecao-colecionador",TRUE,Cor,24K,ML-DOUBLE-X-24K-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/double-x-24k/24k.jpg,1,Double X 24K — 24K,https://site-pi-six-62.vercel.app/assets/produtos/double-x-24k/24k.jpg,FALSE,Double X 24K — Monster Lupas,Linha X-Metal com acabamento texturizado que simula ouro 24k.,active
double-x-24k,,,,,,,,,Lentes Espelhada,ML-DOUBLE-X-24K-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/double-x-24k/lentes-espelhada.jpg,2,Double X 24K — Lentes Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/double-x-24k/lentes-espelhada.jpg,,,,
half-jacket,Half Jacket,"<p>Design semiaro esportivo — leve, agressivo e pronto pro dia a dia.</p><p>Óculos Half Jacket com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-novidades, colecao-performance",TRUE,Cor,Carbon Lentes Black,ML-HALF-JACKET-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/half-jacket/carbon-lentes-black.jpg,1,Half Jacket — Carbon Lentes Black,https://site-pi-six-62.vercel.app/assets/produtos/half-jacket/carbon-lentes-black.jpg,FALSE,Half Jacket — Monster Lupas,"Design semiaro esportivo — leve, agressivo e pronto pro dia a dia.",active
half-jacket,,,,,,,,,Carbon Lentes Espelhada,ML-HALF-JACKET-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/half-jacket/carbon-lentes-espelhada.jpg,2,Half Jacket — Carbon Lentes Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/half-jacket/carbon-lentes-espelhada.jpg,,,,
highland,Highland,"<p>Visual esportivo com design moderno pra uso casual.</p><p>Óculos Highland com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Carbon Lentes Black,ML-HIGHLAND-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/highland/carbon-lentes-black.jpg,1,Highland — Carbon Lentes Black,https://site-pi-six-62.vercel.app/assets/produtos/highland/carbon-lentes-black.jpg,FALSE,Highland — Monster Lupas,Visual esportivo com design moderno pra uso casual.,active
highland,,,,,,,,,Carbon Lentes Espelhada,ML-HIGHLAND-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/highland/carbon-lentes-espelhada.jpg,2,Highland — Carbon Lentes Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/highland/carbon-lentes-espelhada.jpg,,,,
hstn,HSTN,"<p>Linhas modernas e visual sofisticado — a cultura urbana em forma de óculos.</p><p>Óculos HSTN com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Cinza Escuro Claro Gold Café,ML-HSTN-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/hstn/cinza-escuro-claro-gold-cafe.jpg,1,HSTN — Cinza Escuro Claro Gold Café,https://site-pi-six-62.vercel.app/assets/produtos/hstn/cinza-escuro-claro-gold-cafe.jpg,FALSE,HSTN — Monster Lupas,Linhas modernas e visual sofisticado — a cultura urbana em forma de óculos.,active
hstn,,,,,,,,,Cinza Escuro Claro Lente Gold,ML-HSTN-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/hstn/cinza-escuro-claro-lente-gold.jpg,2,HSTN — Cinza Escuro Claro Lente Gold,https://site-pi-six-62.vercel.app/assets/produtos/hstn/cinza-escuro-claro-lente-gold.jpg,,,,
lach,Lach,"<p>Sistema Latch prende no colarinho — leveza O Matter e alta definição.</p><p>Óculos Lach com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-streetwear, colecao-novidades",TRUE,Cor,Marrom Lentes VR28,ML-LACH-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/lach/marrom-lentes-vr28.jpg,1,Lach — Marrom Lentes VR28,https://site-pi-six-62.vercel.app/assets/produtos/lach/marrom-lentes-vr28.jpg,FALSE,Lach — Monster Lupas,Sistema Latch prende no colarinho — leveza O Matter e alta definição.,active
lach,,,,,,,,,Preto Lentes Black,ML-LACH-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/lach/preto-lentes-black.jpg,2,Lach — Preto Lentes Black,https://site-pi-six-62.vercel.app/assets/produtos/lach/preto-lentes-black.jpg,,,,
m-frame,M Frame,"<p>Lente única, campo de visão amplo — o clássico dos atletas.</p><p>Óculos M Frame com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades",TRUE,Cor,Preta Lente Espelhada,ML-M-FRAME-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/m-frame/preta-lente-espelhada.jpg,1,M Frame — Preta Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/m-frame/preta-lente-espelhada.jpg,FALSE,M Frame — Monster Lupas,"Lente única, campo de visão amplo — o clássico dos atletas.",active
m-frame,,,,,,,,,Preta Lente Gold Café,ML-M-FRAME-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/m-frame/preta-lente-gold-cafe.jpg,2,M Frame — Preta Lente Gold Café,https://site-pi-six-62.vercel.app/assets/produtos/m-frame/preta-lente-gold-cafe.jpg,,,,
mag-four,Mag Four,"<p>Armação vintage em liga leve — referência entre colecionadores.</p><p>Óculos Mag Four com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades, colecao-colecionador",TRUE,Cor,Plasma Lente Gold,ML-MAG-FOUR-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/mag-four/plasma-lente-gold.jpg,1,Mag Four — Plasma Lente Gold,https://site-pi-six-62.vercel.app/assets/produtos/mag-four/plasma-lente-gold.jpg,FALSE,Mag Four — Monster Lupas,Armação vintage em liga leve — referência entre colecionadores.,active
mag-four,,,,,,,,,Plasma Lente Preta,ML-MAG-FOUR-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/mag-four/plasma-lente-preta.jpg,2,Mag Four — Plasma Lente Preta,https://site-pi-six-62.vercel.app/assets/produtos/mag-four/plasma-lente-preta.jpg,,,,
penny,Penny,"<p>Ícone da linha X-Metal — encaixe compacto e construção premium em metal.</p><p>Óculos Penny com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-x-metal, colecao-novidades, colecao-colecionador",TRUE,Cor,Carbon Lente Espelhada,ML-PENNY-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/penny/carbon-lente-espelhada.jpg,1,Penny — Carbon Lente Espelhada,https://site-pi-six-62.vercel.app/assets/produtos/penny/carbon-lente-espelhada.jpg,FALSE,Penny — Monster Lupas,Ícone da linha X-Metal — encaixe compacto e construção premium em metal.,active
penny,,,,,,,,,Carbon Lente Preta,ML-PENNY-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/penny/carbon-lente-preta.jpg,2,Penny — Carbon Lente Preta,https://site-pi-six-62.vercel.app/assets/produtos/penny/carbon-lente-preta.jpg,,,,
permian,Permian,"<p>Sofisticação esportiva com formato retangular envolvente.</p><p>Óculos Permian com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,All Black,ML-PERMIAN-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/permian/all-black.jpg,1,Permian — All Black,https://site-pi-six-62.vercel.app/assets/produtos/permian/all-black.jpg,FALSE,Permian — Monster Lupas,Sofisticação esportiva com formato retangular envolvente.,active
permian,,,,,,,,,Bege Lentes Degradê,ML-PERMIAN-02,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/permian/bege-lentes-degrade.jpg,2,Permian — Bege Lentes Degradê,https://site-pi-six-62.vercel.app/assets/produtos/permian/bege-lentes-degrade.jpg,,,,
pitboss,Pit Boss,"<p>Linha Elite — robustez, exclusividade e alto desempenho.</p><p>Óculos Pit Boss com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-classica, colecao-novidades",TRUE,Cor,Corvette Lente Preta,ML-PITBOSS-01,120,,,continue,manual,169.90,297.90,TRUE,TRUE,,https://site-pi-six-62.vercel.app/assets/produtos/pitboss/corvette-lente-preta.jpg,1,Pit Boss — Corvette Lente Preta,https://site-pi-six-62.vercel.app/assets/produtos/pitboss/corvette-lente-preta.jpg,FALSE,Pit Boss — Monster Lupas,"Linha Elite — robustez, exclusividade e alto desempenho.",active
