Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,Gift Card,SEO Title,SEO Description,Status
oculos-plantaris-1,Plantaris,"<p>Arrojado e imponente — a armação mais procurada da coleção.</p><p>Óculos Plantaris com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,"categoria-esportiva, colecao-performance",TRUE,Cor,Matte Bone Lente Gold,ML-OCULOS-PLANTARIS-1-01,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-0.jpg?w=1200,1,Plantaris — Matte Bone Lente Gold,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-0.jpg?w=1200,FALSE,Plantaris — Monster Lupas,Arrojado e imponente — a armação mais procurada da coleção.,active
oculos-plantaris-1,,,,,,,,,Preta Lente Ruby,ML-OCULOS-PLANTARIS-1-02,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-1.jpg?w=1200,2,Plantaris — Preta Lente Ruby,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-1.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Preta Lente Preta,ML-OCULOS-PLANTARIS-1-03,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-2.jpg?w=1200,3,Plantaris — Preta Lente Preta,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-2.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Preta Haste Transparente,ML-OCULOS-PLANTARIS-1-04,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-3.jpg?w=1200,4,Plantaris — Preta Haste Transparente,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-3.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Cinza Lente Preta,ML-OCULOS-PLANTARIS-1-05,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-4.jpg?w=1200,5,Plantaris — Cinza Lente Preta,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-4.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Verde Lente VR28,ML-OCULOS-PLANTARIS-1-06,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-6.jpg?w=1200,6,Plantaris — Verde Lente VR28,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-6.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Piet Lente VR28,ML-OCULOS-PLANTARIS-1-07,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-7.jpg?w=1200,7,Plantaris — Piet Lente VR28,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-7.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Cinza Lente Ruby,ML-OCULOS-PLANTARIS-1-08,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-8.jpg?w=1200,8,Plantaris — Cinza Lente Ruby,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-8.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Azul Escuro Lente Preta,ML-OCULOS-PLANTARIS-1-09,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-9.jpg?w=1200,9,Plantaris — Azul Escuro Lente Preta,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-9.jpg?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Cinza Lente Azul,ML-OCULOS-PLANTARIS-1-10,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-11.png?w=1200,10,Plantaris — Cinza Lente Azul,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-11.png?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Cinza Lente Gold,ML-OCULOS-PLANTARIS-1-11,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-12.png?w=1200,11,Plantaris — Cinza Lente Gold,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-12.png?w=1200,,,,
oculos-plantaris-1,,,,,,,,,Cinza Lente VR28,ML-OCULOS-PLANTARIS-1-12,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-15.png?w=1200,12,Plantaris — Cinza Lente VR28,https://monsterlupas.com.br/api/public/image/oculos-plantaris-1/image-15.png?w=1200,,,,
oculos-plate,Plate,"<p>Clássico atemporal, com armação plana e acabamento premium.</p><p>Óculos Plate com proteção UV400 e lente polarizada. Estoque próprio, envio rápido para todo o Brasil.</p>",Monster Lupas,,Óculos de Sol,categoria-x-metal,TRUE,Cor,Carbon Lente Ruby,ML-OCULOS-PLATE-01,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plate/image-0.webp?w=1200,1,Plate — Carbon Lente Ruby,https://monsterlupas.com.br/api/public/image/oculos-plate/image-0.webp?w=1200,FALSE,Plate — Monster Lupas,"Clássico atemporal, com armação plana e acabamento premium.",active
oculos-plate,,,,,,,,,Bege Lente Gold Café,ML-OCULOS-PLATE-02,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plate/image-1.webp?w=1200,2,Plate — Bege Lente Gold Café,https://monsterlupas.com.br/api/public/image/oculos-plate/image-1.webp?w=1200,,,,
oculos-plate,,,,,,,,,Bege Lente Espelhada,ML-OCULOS-PLATE-03,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plate/image-2.webp?w=1200,3,Plate — Bege Lente Espelhada,https://monsterlupas.com.br/api/public/image/oculos-plate/image-2.webp?w=1200,,,,
oculos-plate,,,,,,,,,Carbon Lente Espelhada,ML-OCULOS-PLATE-04,120,,,continue,manual,179.90,297.90,TRUE,TRUE,,https://monsterlupas.com.br/api/public/image/oculos-plate/image-3.webp?w=1200,4,Plate — Carbon Lente Espelhada,https://monsterlupas.com.br/api/public/image/oculos-plate/image-3.webp?w=1200,,,,
