Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hotpants-eduarda,Hot Pants Eduarda,"<p>Hot Pants confeccionada em lycra premium, desenvolvida para ser usada sob os vestidos de macramê, proporcionando conforto, segurança e um caimento impecável.</p><p>Seu design de cintura alta oferece excelente cobertura e valoriza a silhueta, garantindo mais conforto e confiança durante o uso.</p><p>A peça será confeccionada na mesma cor do fio escolhido para o seu look, garantindo um acabamento harmonioso e discreto sob o vestido de macramê.</p><p>Nossa equipe entrará em contato após a confirmação do pedido para validar todas as medidas e detalhes da produção.</p>",Natalia Silveira,,Complemento,"complemento-look, feito-a-mao",true,Tamanho,PP,,,,,,,,eduarda-PP,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,false,Hot Pants Eduarda | Natalia Silveira,Hot Pants em lycra premium para usar sob os vestidos de macramê. Natalia Silveira.,,kg,,,active
hotpants-eduarda,,,,,,,,,P,,,,,,,,eduarda-P,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
hotpants-eduarda,,,,,,,,,M,,,,,,,,eduarda-M,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
hotpants-eduarda,,,,,,,,,G,,,,,,,,eduarda-G,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
hotpants-eduarda,,,,,,,,,GG,,,,,,,,eduarda-GG,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
saia-marcela,Saia Forro Marcela,"<p>Saia forro confeccionada em lycra premium, desenvolvida para ser usada sob os vestidos de macramê, proporcionando conforto, segurança e um caimento impecável.</p><p>Comprimento padrão: 35 cm. Caso deseje outro comprimento, basta informar no momento da confirmação das suas medidas.</p><p>A peça será confeccionada na mesma cor do fio escolhido para o seu look, garantindo um acabamento harmonioso e discreto.</p><p>Nossa equipe entrará em contato após a confirmação do pedido para validar todas as medidas e detalhes da produção.</p>",Natalia Silveira,,Complemento,"complemento-look, feito-a-mao",true,Tamanho,PP,,,,,,,,marcela-PP,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,false,Saia Forro Marcela | Natalia Silveira,Saia forro em lycra premium para usar sob os vestidos de macramê. Natalia Silveira.,,kg,,,active
saia-marcela,,,,,,,,,P,,,,,,,,marcela-P,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
saia-marcela,,,,,,,,,M,,,,,,,,marcela-M,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
saia-marcela,,,,,,,,,G,,,,,,,,marcela-G,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
saia-marcela,,,,,,,,,GG,,,,,,,,marcela-GG,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-vanuza,Shortinho Forro Vanuza,"<p>Shortinho forro confeccionado em lycra premium, desenvolvido para ser usado sob os vestidos de macramê, proporcionando conforto, segurança e um caimento impecável.</p><p>O modelo possui comprimento padrão, desenvolvido para acompanhar perfeitamente os vestidos da coleção.</p><p>A peça será confeccionada na mesma cor do fio escolhido para o seu look, garantindo um acabamento harmonioso e discreto.</p>",Natalia Silveira,,Complemento,"complemento-look, feito-a-mao",true,Tamanho,PP,,,,,,,,vanuza-sh-PP,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,false,Shortinho Forro Vanuza | Natalia Silveira,Shortinho forro em lycra premium para usar sob os vestidos de macramê. Natalia Silveira.,,kg,,,active
shortinho-vanuza,,,,,,,,,P,,,,,,,,vanuza-sh-P,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-vanuza,,,,,,,,,M,,,,,,,,vanuza-sh-M,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-vanuza,,,,,,,,,G,,,,,,,,vanuza-sh-G,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-vanuza,,,,,,,,,GG,,,,,,,,vanuza-sh-GG,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-amanda,Shortinho Forro Amanda,"<p>Shortinho forro confeccionado em lycra premium, desenvolvido para ser usado sob os vestidos de macramê, proporcionando conforto, segurança e um caimento impecável.</p><p>A peça será confeccionada na mesma cor do fio escolhido para o seu look, garantindo um acabamento harmonioso e discreto.</p>",Natalia Silveira,,Complemento,"feito-a-mao",true,Tamanho,PP,,,,,,,,amanda-sh-PP,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,false,Shortinho Forro Amanda | Natalia Silveira,Shortinho forro em lycra premium para usar sob os vestidos de macramê. Natalia Silveira.,,kg,,,active
shortinho-amanda,,,,,,,,,P,,,,,,,,amanda-sh-P,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-amanda,,,,,,,,,M,,,,,,,,amanda-sh-M,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-amanda,,,,,,,,,G,,,,,,,,amanda-sh-G,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
shortinho-amanda,,,,,,,,,GG,,,,,,,,amanda-sh-GG,200.0,,0,continue,manual,149.00,,true,true,,,,,,,,,,,,,kg,,,
