Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
corselet-ombreiras,Corselet com Ombreiras,"<p>Conjunto artesanal em macramê premium, corselet com ombreiras estruturadas, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,corselet-ombreiras-PP,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,false,Corselet com Ombreiras — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
corselet-ombreiras,,,,,,,,,P,,,,,,,,corselet-ombreiras-P,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
corselet-ombreiras,,,,,,,,,M,,,,,,,,corselet-ombreiras-M,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
corselet-ombreiras,,,,,,,,,G,,,,,,,,corselet-ombreiras-G,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
corselet-ombreiras,,,,,,,,,GG,,,,,,,,corselet-ombreiras-GG,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
corselet-ombreiras,,,,,,,,,ÚNICO,,,,,,,,corselet-ombreiras-U,1500.0,,0,continue,manual,1490.00,,true,true,,,,,,,,,,,,,kg,,,
siemens,Siemens,"<p>Conjunto artesanal em macramê premium, top e saia, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,siemens-PP,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,false,Siemens — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
siemens,,,,,,,,,P,,,,,,,,siemens-P,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,,,,,kg,,,
siemens,,,,,,,,,M,,,,,,,,siemens-M,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,,,,,kg,,,
siemens,,,,,,,,,G,,,,,,,,siemens-G,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,,,,,kg,,,
siemens,,,,,,,,,GG,,,,,,,,siemens-GG,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,,,,,kg,,,
siemens,,,,,,,,,ÚNICO,,,,,,,,siemens-U,1500.0,,0,continue,manual,1590.00,,true,true,,,,,,,,,,,,,kg,,,
stefanie,Stefanie,"<p>Vestido artesanal em macramê premium, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores.</p>",Natalia Silveira,,Vestido,"vestido, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,stefanie-PP,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,false,Stefanie — Vestido Artesanal | Natalia Silveira,Vestido artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
stefanie,,,,,,,,,P,,,,,,,,stefanie-P,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
stefanie,,,,,,,,,M,,,,,,,,stefanie-M,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
stefanie,,,,,,,,,G,,,,,,,,stefanie-G,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
stefanie,,,,,,,,,GG,,,,,,,,stefanie-GG,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
stefanie,,,,,,,,,ÚNICO,,,,,,,,stefanie-U,1500.0,,0,continue,manual,1290.00,,true,true,,,,,,,,,,,,,kg,,,
juliana,Juliana,"<p>Conjunto corselet artesanal em macramê premium com correntes, top e saia, produzido exclusivamente sob medida. Prazo de produção: até 20 dias corridos. Disponível em 43 cores — informe sua preferência ao encomendar.</p>",Natalia Silveira,,Conjunto,"conjunto, feito-a-mao, macrame",true,Tamanho,PP,,,,,,,,juliana-PP,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,false,Juliana — Conjunto Artesanal | Natalia Silveira,Conjunto artesanal em macramê feito à mão. Sob medida. Natalia Silveira.,,kg,,,active
juliana,,,,,,,,,P,,,,,,,,juliana-P,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
juliana,,,,,,,,,M,,,,,,,,juliana-M,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
juliana,,,,,,,,,G,,,,,,,,juliana-G,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
juliana,,,,,,,,,GG,,,,,,,,juliana-GG,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
juliana,,,,,,,,,ÚNICO,,,,,,,,juliana-U,1500.0,,0,continue,manual,1390.00,,true,true,,,,,,,,,,,,,kg,,,
