Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Image Src,Image Position,Image Alt Text,Variant Image,Status
cueca-lgd,Cueca LGD (Kit 10 unidades),"<p>Kit com 10 cuecas boxer LGD Records em malha premium, cós elástico reforçado e estampa autoral do escudo LGD. Tecido leve e respirável para o dia a dia.</p>",LGD Records,Cuecas,"cueca,streetwear,lgd,novidade,mais-vendido",TRUE,Tamanho,P,Cor,Preto,LGD-CUE-P-PRE,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,Cueca LGD Records (Kit 10) | Streetwear Autoral,"Kit com 10 cuecas boxer LGD Records em malha premium. Tamanhos P ao GG, várias cores. Pix ou 2x sem juros.",,,,,active
cueca-lgd,,,,,,,Tamanho,P,Cor,Cinza,LGD-CUE-P-CIN,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Branco,LGD-CUE-P-BRA,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Bege,LGD-CUE-P-BEG,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Verde-Oliva,LGD-CUE-P-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Azul-Marinho,LGD-CUE-P-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Azul-Royal,LGD-CUE-P-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,P,Cor,Vermelho,LGD-CUE-P-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Preto,LGD-CUE-M-PRE,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Cinza,LGD-CUE-M-CIN,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Branco,LGD-CUE-M-BRA,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Bege,LGD-CUE-M-BEG,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Verde-Oliva,LGD-CUE-M-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Azul-Marinho,LGD-CUE-M-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Azul-Royal,LGD-CUE-M-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,M,Cor,Vermelho,LGD-CUE-M-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Preto,LGD-CUE-G-PRE,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Cinza,LGD-CUE-G-CIN,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Branco,LGD-CUE-G-BRA,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Bege,LGD-CUE-G-BEG,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Verde-Oliva,LGD-CUE-G-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Azul-Marinho,LGD-CUE-G-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Azul-Royal,LGD-CUE-G-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,G,Cor,Vermelho,LGD-CUE-G-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Preto,LGD-CUE-GG-PRE,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Cinza,LGD-CUE-GG-CIN,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Branco,LGD-CUE-GG-BRA,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Bege,LGD-CUE-GG-BEG,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Verde-Oliva,LGD-CUE-GG-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Azul-Marinho,LGD-CUE-GG-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Azul-Royal,LGD-CUE-GG-AZU,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
cueca-lgd,,,,,,,Tamanho,GG,Cor,Vermelho,LGD-CUE-GG-VER,80,shopify,10,deny,manual,140.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,Camisa de Compressão LGD,"<p>Camisa de compressão LGD Records em dry-fit, caimento justo e tecido de secagem rápida. Ideal para treino ou uso casual, com o escudo LGD bordado no peito.</p>",LGD Records,Compressão,"camiseta,compressao,streetwear,lgd,mais-vendido",TRUE,Tamanho,P,Cor,Branco,LGD-CMP-P-BRA,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,Camisa de Compressão LGD Records | Dry-Fit,"Camisa de compressão LGD Records em dry-fit com caimento justo. Tamanhos P ao GG, branco e preto. Pix ou 2x sem juros.",,,,,active
camisa-compressao-lgd,,,,,,,Tamanho,P,Cor,Preto,LGD-CMP-P-PRE,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,,,,,,,Tamanho,M,Cor,Branco,LGD-CMP-M-BRA,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
camisa-compressao-lgd,,,,,,,Tamanho,M,Cor,Preto,LGD-CMP-M-PRE,150,shopify,10,deny,manual,70.00,,TRUE,TRUE,FALSE,,,,,,,
