Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
moletom-canguru-mcd-core-creme-arcanjo,Moletom Canguru Fechado MCD Core Creme Arcanjo,"<p>Moletom canguru fechado cor creme off-white, patch ""MCD"" em losango e estampa minimalista de arcanjo.</p>",MCD,Moletom,"moletom,mcd,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-MCD-CORE-CREME-ARCANJO-P,3,deny,manual,399.99,TRUE,TRUE,,1,Moletom Canguru Fechado MCD Core Creme Arcanjo,active
moletom-canguru-mcd-core-creme-arcanjo,,,,,,,Tamanho,M,MOLETOM-CANGURU-MCD-CORE-CREME-ARCANJO-M,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-canguru-mcd-core-creme-arcanjo,,,,,,,Tamanho,G,MOLETOM-CANGURU-MCD-CORE-CREME-ARCANJO-G,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-canguru-mcd-core-creme-arcanjo,,,,,,,Tamanho,GG,MOLETOM-CANGURU-MCD-CORE-CREME-ARCANJO-GG,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-canguru-especial-pigeon,Moletom Canguru Fechado Especial Pigeon,<p>Moletom canguru fechado em tom escuro/marinho com estampa de pombos brancos em estilo gótico.</p>,MCD,Moletom,"moletom,mcd,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-ESPECIAL-PIGEON-P,3,deny,manual,499.99,TRUE,TRUE,,1,Moletom Canguru Fechado Especial Pigeon,active
moletom-canguru-especial-pigeon,,,,,,,Tamanho,M,MOLETOM-CANGURU-ESPECIAL-PIGEON-M,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-canguru-especial-pigeon,,,,,,,Tamanho,G,MOLETOM-CANGURU-ESPECIAL-PIGEON-G,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-canguru-especial-pigeon,,,,,,,Tamanho,GG,MOLETOM-CANGURU-ESPECIAL-PIGEON-GG,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-canguru-especial-mcd-anjos,Moletom Canguru Fechado Especial MCD Anjos,<p>Moletom canguru fechado off-white com estampa full print de anjos/esqueletos alados em estilo gravura.</p>,MCD,Moletom,"moletom,mcd,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-ESPECIAL-MCD-ANJOS-P,3,deny,manual,599.99,TRUE,TRUE,,1,Moletom Canguru Fechado Especial MCD Anjos,active
moletom-canguru-especial-mcd-anjos,,,,,,,Tamanho,M,MOLETOM-CANGURU-ESPECIAL-MCD-ANJOS-M,3,deny,manual,599.99,TRUE,TRUE,,,,
moletom-canguru-especial-mcd-anjos,,,,,,,Tamanho,G,MOLETOM-CANGURU-ESPECIAL-MCD-ANJOS-G,3,deny,manual,599.99,TRUE,TRUE,,,,
moletom-canguru-especial-mcd-anjos,,,,,,,Tamanho,GG,MOLETOM-CANGURU-ESPECIAL-MCD-ANJOS-GG,3,deny,manual,599.99,TRUE,TRUE,,,,
moletom-careca-apocalipse,Moletom Careca Apocalipse,<p>Moletom careca (sem capuz) branco/off-white com estampa de caveira com asas douradas/pretas.</p>,Apocalipse,Moletom,"moletom,apocalipse,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CARECA-APOCALIPSE-P,3,deny,manual,399.99,TRUE,TRUE,,1,Moletom Careca Apocalipse,active
moletom-careca-apocalipse,,,,,,,Tamanho,M,MOLETOM-CARECA-APOCALIPSE-M,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-careca-apocalipse,,,,,,,Tamanho,G,MOLETOM-CARECA-APOCALIPSE-G,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-careca-apocalipse,,,,,,,Tamanho,GG,MOLETOM-CARECA-APOCALIPSE-GG,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-fechado-lost-industries-especial,Moletom Fechado Lost Industries Especial,"<p>Moletom fechado marrom com estampa colorida ""Lost Industries"" e mão-esqueleto.</p>",Lost,Moletom,"moletom,lost,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-FECHADO-LOST-INDUSTRIES-ESPECIAL-P,3,deny,manual,499.99,TRUE,TRUE,,1,Moletom Fechado Lost Industries Especial,active
moletom-fechado-lost-industries-especial,,,,,,,Tamanho,M,MOLETOM-FECHADO-LOST-INDUSTRIES-ESPECIAL-M,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-fechado-lost-industries-especial,,,,,,,Tamanho,G,MOLETOM-FECHADO-LOST-INDUSTRIES-ESPECIAL-G,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-fechado-lost-industries-especial,,,,,,,Tamanho,GG,MOLETOM-FECHADO-LOST-INDUSTRIES-ESPECIAL-GG,3,deny,manual,499.99,TRUE,TRUE,,,,
moletom-canguru-insane-joker,Moletom Canguru Insane Joker,"<p>Moletom canguru cinza mescla, patch bordado ""LOST"" e logo de palhaço pequeno.</p>",Lost,Moletom,"moletom,lost,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-INSANE-JOKER-P,3,deny,manual,349.99,TRUE,TRUE,,1,Moletom Canguru Insane Joker,active
moletom-canguru-insane-joker,,,,,,,Tamanho,M,MOLETOM-CANGURU-INSANE-JOKER-M,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-insane-joker,,,,,,,Tamanho,G,MOLETOM-CANGURU-INSANE-JOKER-G,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-insane-joker,,,,,,,Tamanho,GG,MOLETOM-CANGURU-INSANE-JOKER-GG,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-joker-brilha-no-escuro,Moletom Canguru Joker Brilha no Escuro,"<p>Moletom canguru roxo/vinho, mesma linha do Insane Joker, com patch redondo ""brilha no escuro"".</p>",Lost,Moletom,"moletom,lost,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-JOKER-BRILHA-NO-ESCURO-P,3,deny,manual,349.99,TRUE,TRUE,,1,Moletom Canguru Joker Brilha no Escuro,active
moletom-canguru-joker-brilha-no-escuro,,,,,,,Tamanho,M,MOLETOM-CANGURU-JOKER-BRILHA-NO-ESCURO-M,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-joker-brilha-no-escuro,,,,,,,Tamanho,G,MOLETOM-CANGURU-JOKER-BRILHA-NO-ESCURO-G,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-joker-brilha-no-escuro,,,,,,,Tamanho,GG,MOLETOM-CANGURU-JOKER-BRILHA-NO-ESCURO-GG,3,deny,manual,349.99,TRUE,TRUE,,,,
moletom-canguru-lost-saturn,Moletom Canguru Lost Saturn,<p>Moletom canguru preto com estampa grafite branca grande no braço/peito.</p>,Lost,Moletom,"moletom,lost,streetwear,moletons",TRUE,Tamanho,P,MOLETOM-CANGURU-LOST-SATURN-P,3,deny,manual,399.99,TRUE,TRUE,,1,Moletom Canguru Lost Saturn,active
moletom-canguru-lost-saturn,,,,,,,Tamanho,M,MOLETOM-CANGURU-LOST-SATURN-M,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-canguru-lost-saturn,,,,,,,Tamanho,G,MOLETOM-CANGURU-LOST-SATURN-G,3,deny,manual,399.99,TRUE,TRUE,,,,
moletom-canguru-lost-saturn,,,,,,,Tamanho,GG,MOLETOM-CANGURU-LOST-SATURN-GG,3,deny,manual,399.99,TRUE,TRUE,,,,
