clube,imagem,caminho_local,tamanho_original_kb,tamanho_comprimido_kb
A.I.K,6c93251e.jpg,imagens\A.I.K\6c93251e.jpg,570.4,264.9
A.I.K,68fb4214.jpg,imagens\A.I.K\68fb4214.jpg,559.5,258.5
AJAX,70371bdc.jpg,imagens\AJAX\70371bdc.jpg,283.9,288
AJAX,828f3092.jpg,imagens\AJAX\828f3092.jpg,262.7,253.9
AJAX,79d39149.jpg,imagens\AJAX\79d39149.jpg,292.4,174
AJAX,7383d3fb.jpg,imagens\AJAX\7383d3fb.jpg,312.3,316.9
AJAX,fcac4d67.jpg,imagens\AJAX\fcac4d67.jpg,649.4,252.6
AJAX,55386126.jpg,imagens\AJAX\55386126.jpg,304.9,179.8
AJAX,78bc04e0.jpg,imagens\AJAX\78bc04e0.jpg,373,360.2
ALAVES,61671374.jpg,imagens\ALAVES\61671374.jpg,3047.5,242.1
ALAVES,75e12d53.jpg,imagens\ALAVES\75e12d53.jpg,2878.4,211.2
ALAVES,3cb27faa.jpg,imagens\ALAVES\3cb27faa.jpg,2586.3,190
ALAVES,17c06f06.jpg,imagens\ALAVES\17c06f06.jpg,3114.9,240
ALEMANHA,e15ace36.jpg,imagens\ALEMANHA\e15ace36.jpg,421.1,257.1
ALEMANHA,f1581619.jpg,imagens\ALEMANHA\f1581619.jpg,112.9,107.7
ALEMANHA,0f51764b.jpg,imagens\ALEMANHA\0f51764b.jpg,103.9,100.8
ALEMANHA,546af60f.jpg,imagens\ALEMANHA\546af60f.jpg,202.1,116.2
ALEMANHA,1d2aefca.jpg,imagens\ALEMANHA\1d2aefca.jpg,783.2,287
ALEMANHA,de774d5a.jpg,imagens\ALEMANHA\de774d5a.jpg,206.2,181.3
ALEMANHA,e79d53d1.jpg,imagens\ALEMANHA\e79d53d1.jpg,871.2,316.1
ALEMANHA,67f24476.jpg,imagens\ALEMANHA\67f24476.jpg,124.9,118.3
ALEMANHA,c2f74cb5.jpg,imagens\ALEMANHA\c2f74cb5.jpg,128.3,120.5
ALEMANHA,bd01d357.jpg,imagens\ALEMANHA\bd01d357.jpg,121.9,115
ALEMANHA,5d65c89e.jpg,imagens\ALEMANHA\5d65c89e.jpg,428.8,264
ALEMANHA,e6332154.jpg,imagens\ALEMANHA\e6332154.jpg,113.7,109.2
ALEMANHA,62f12193.jpg,imagens\ALEMANHA\62f12193.jpg,126.3,113.6
ALEMANHA,af0a0755.jpg,imagens\ALEMANHA\af0a0755.jpg,390.6,239.4
ALEMANHA,e00c4dfd.jpg,imagens\ALEMANHA\e00c4dfd.jpg,789.8,301.5
ALEMANHA,b25e64d0.jpg,imagens\ALEMANHA\b25e64d0.jpg,229.6,187.4
ALEMANHA,0582a306.jpg,imagens\ALEMANHA\0582a306.jpg,143.5,131.7
ALEMANHA,ed89cfeb.jpg,imagens\ALEMANHA\ed89cfeb.jpg,871.5,308.9
ALEMANHA,65b75897.jpg,imagens\ALEMANHA\65b75897.jpg,1824.2,173.5
ALEMANHA,4ced3f37.jpg,imagens\ALEMANHA\4ced3f37.jpg,1629.8,152.6
ALEMANHA,b3aeadd3.jpg,imagens\ALEMANHA\b3aeadd3.jpg,2399.9,180.9
ALEMANHA,cc939a21.jpg,imagens\ALEMANHA\cc939a21.jpg,3119.7,186.9
ALEMANHA,42c3ea33.jpg,imagens\ALEMANHA\42c3ea33.jpg,4453.9,151.2
ALEMANHA,901c9f0e.jpg,imagens\ALEMANHA\901c9f0e.jpg,3030.2,229.8
ALEMANHA,bd1a4069.jpg,imagens\ALEMANHA\bd1a4069.jpg,3778.8,124.8
ALEMANHA,3da31ee1.jpg,imagens\ALEMANHA\3da31ee1.jpg,4453.4,171.4
ALEMANHA,a402db83.jpg,imagens\ALEMANHA\a402db83.jpg,5307.4,315.1
ALEMANHA,8a7e639d.jpg,imagens\ALEMANHA\8a7e639d.jpg,4134.4,137.4
ALEMANHA,6ce0ba07.jpg,imagens\ALEMANHA\6ce0ba07.jpg,3097.5,176.8
ALEMANHA,7d0f826d.jpg,imagens\ALEMANHA\7d0f826d.jpg,5409.8,234.3
ALEMANHA,080a1f1d.jpg,imagens\ALEMANHA\080a1f1d.jpg,4657.5,177
ALEMANHA,e12627f8.jpg,imagens\ALEMANHA\e12627f8.jpg,4096.5,149.2
ALEMANHA,87ebcdea.jpg,imagens\ALEMANHA\87ebcdea.jpg,4569.8,144.9
ALEMANHA,90774fed.jpg,imagens\ALEMANHA\90774fed.jpg,3955.6,138.3
