Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
camisa-brasil-home-2026,"Camisa Brasil Home 2026 | Copa do Mundo","<p>Camisa oficial Camisa Brasil Home 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,brasil",TRUE,Tamanho,P,CAMISA-BRASIL-HOME-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-home-2026,,,,,,,,M,CAMISA-BRASIL-HOME-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-home-2026,,,,,,,,G,CAMISA-BRASIL-HOME-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-home-2026,,,,,,,,GG,CAMISA-BRASIL-HOME-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-home-2026,,,,,,,,XGG,CAMISA-BRASIL-HOME-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-away-2026,"Camisa Brasil Away 2026 | Copa do Mundo","<p>Camisa oficial Camisa Brasil Away 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,brasil",TRUE,Tamanho,P,CAMISA-BRASIL-AWAY-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-away-2026,,,,,,,,M,CAMISA-BRASIL-AWAY-2026-M,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-away-2026,,,,,,,,G,CAMISA-BRASIL-AWAY-2026-G,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-away-2026,,,,,,,,GG,CAMISA-BRASIL-AWAY-2026-GG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-away-2026,,,,,,,,XGG,CAMISA-BRASIL-AWAY-2026-XGG,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
camisa-brasil-third-2026,"Camisa Brasil Third 2026 | Copa do Mundo","<p>Camisa oficial Camisa Brasil Third 2026 | Copa do Mundo. Tecido dry-fit de alta performance, perfeito para usar no dia a dia ou torcer pelo seu time. Disponivel nos tamanhos P, M, G, GG e XGG.</p>",Manto dos Craques,Selecoes Copa 2026,"copa-2026,selecoes,brasil",TRUE,Tamanho,P,CAMISA-BRASIL-THIRD-2026-P,300,shopify,10,deny,manual,149.90,199.90,TRUE,TRUE,,,,active
