Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Status,Image Src,Image Position,Image Alt Text
america-mg,América Mg,"<p>Camisa América Mg — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,america-mg-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\america-mg\imagem-principal.jpg,1,América Mg
america-mg,,,,,,,,Tamanho,M,america-mg-M,179.90,100,deny,manual,TRUE,,,,
america-mg,,,,,,,,Tamanho,G,america-mg-G,179.90,100,deny,manual,TRUE,,,,
america-mg,,,,,,,,Tamanho,GG,america-mg-GG,179.90,100,deny,manual,TRUE,,,,
america-mg,,,,,,,,Tamanho,XG,america-mg-XG,179.90,100,deny,manual,TRUE,,,,
athletico-paranaense,Athletico Paranaense,"<p>Camisa Athletico Paranaense — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,athletico-paranaense-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\athletico-paranaense\imagem-principal.jpg,1,Athletico Paranaense
athletico-paranaense,,,,,,,,Tamanho,M,athletico-paranaense-M,179.90,100,deny,manual,TRUE,,,,
athletico-paranaense,,,,,,,,Tamanho,G,athletico-paranaense-G,179.90,100,deny,manual,TRUE,,,,
athletico-paranaense,,,,,,,,Tamanho,GG,athletico-paranaense-GG,179.90,100,deny,manual,TRUE,,,,
athletico-paranaense,,,,,,,,Tamanho,XG,athletico-paranaense-XG,179.90,100,deny,manual,TRUE,,,,
atletico-mineiro,Atlético Mineiro,"<p>Camisa Atlético Mineiro — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,atletico-mineiro-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\atletico-mineiro\imagem-principal.jpg,1,Atlético Mineiro
atletico-mineiro,,,,,,,,Tamanho,M,atletico-mineiro-M,179.90,100,deny,manual,TRUE,,,,
atletico-mineiro,,,,,,,,Tamanho,G,atletico-mineiro-G,179.90,100,deny,manual,TRUE,,,,
atletico-mineiro,,,,,,,,Tamanho,GG,atletico-mineiro-GG,179.90,100,deny,manual,TRUE,,,,
atletico-mineiro,,,,,,,,Tamanho,XG,atletico-mineiro-XG,179.90,100,deny,manual,TRUE,,,,
avai,Avaí,"<p>Camisa Avaí — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,avai-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\avai\imagem-principal.jpg,1,Avaí
avai,,,,,,,,Tamanho,M,avai-M,179.90,100,deny,manual,TRUE,,,,
avai,,,,,,,,Tamanho,G,avai-G,179.90,100,deny,manual,TRUE,,,,
avai,,,,,,,,Tamanho,GG,avai-GG,179.90,100,deny,manual,TRUE,,,,
avai,,,,,,,,Tamanho,XG,avai-XG,179.90,100,deny,manual,TRUE,,,,
bahia,Bahia,"<p>Camisa Bahia — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,bahia-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\bahia\imagem-principal.jpg,1,Bahia
bahia,,,,,,,,Tamanho,M,bahia-M,179.90,100,deny,manual,TRUE,,,,
bahia,,,,,,,,Tamanho,G,bahia-G,179.90,100,deny,manual,TRUE,,,,
bahia,,,,,,,,Tamanho,GG,bahia-GG,179.90,100,deny,manual,TRUE,,,,
bahia,,,,,,,,Tamanho,XG,bahia-XG,179.90,100,deny,manual,TRUE,,,,
botafogo,Botafogo,"<p>Camisa Botafogo — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,botafogo-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\botafogo\imagem-principal.jpg,1,Botafogo
botafogo,,,,,,,,Tamanho,M,botafogo-M,179.90,100,deny,manual,TRUE,,,,
botafogo,,,,,,,,Tamanho,G,botafogo-G,179.90,100,deny,manual,TRUE,,,,
botafogo,,,,,,,,Tamanho,GG,botafogo-GG,179.90,100,deny,manual,TRUE,,,,
botafogo,,,,,,,,Tamanho,XG,botafogo-XG,179.90,100,deny,manual,TRUE,,,,
ceara,Ceará,"<p>Camisa Ceará — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,ceara-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\ceara\imagem-principal.jpg,1,Ceará
ceara,,,,,,,,Tamanho,M,ceara-M,179.90,100,deny,manual,TRUE,,,,
ceara,,,,,,,,Tamanho,G,ceara-G,179.90,100,deny,manual,TRUE,,,,
ceara,,,,,,,,Tamanho,GG,ceara-GG,179.90,100,deny,manual,TRUE,,,,
ceara,,,,,,,,Tamanho,XG,ceara-XG,179.90,100,deny,manual,TRUE,,,,
chapecoense,Chapecoense,"<p>Camisa Chapecoense — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,chapecoense-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\chapecoense\imagem-principal.jpg,1,Chapecoense
chapecoense,,,,,,,,Tamanho,M,chapecoense-M,179.90,100,deny,manual,TRUE,,,,
chapecoense,,,,,,,,Tamanho,G,chapecoense-G,179.90,100,deny,manual,TRUE,,,,
chapecoense,,,,,,,,Tamanho,GG,chapecoense-GG,179.90,100,deny,manual,TRUE,,,,
chapecoense,,,,,,,,Tamanho,XG,chapecoense-XG,179.90,100,deny,manual,TRUE,,,,
corinthians,Corinthians,"<p>Camisa Corinthians — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,corinthians-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\corinthians\imagem-principal.jpg,1,Corinthians
corinthians,,,,,,,,Tamanho,M,corinthians-M,179.90,100,deny,manual,TRUE,,,,
corinthians,,,,,,,,Tamanho,G,corinthians-G,179.90,100,deny,manual,TRUE,,,,
corinthians,,,,,,,,Tamanho,GG,corinthians-GG,179.90,100,deny,manual,TRUE,,,,
corinthians,,,,,,,,Tamanho,XG,corinthians-XG,179.90,100,deny,manual,TRUE,,,,
cruzeiro,Cruzeiro,"<p>Camisa Cruzeiro — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,cruzeiro-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\cruzeiro\imagem-principal.jpg,1,Cruzeiro
cruzeiro,,,,,,,,Tamanho,M,cruzeiro-M,179.90,100,deny,manual,TRUE,,,,
cruzeiro,,,,,,,,Tamanho,G,cruzeiro-G,179.90,100,deny,manual,TRUE,,,,
cruzeiro,,,,,,,,Tamanho,GG,cruzeiro-GG,179.90,100,deny,manual,TRUE,,,,
cruzeiro,,,,,,,,Tamanho,XG,cruzeiro-XG,179.90,100,deny,manual,TRUE,,,,
flamengo,Flamengo,"<p>Camisa Flamengo — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,flamengo-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\flamengo\imagem-principal.jpg,1,Flamengo
flamengo,,,,,,,,Tamanho,M,flamengo-M,179.90,100,deny,manual,TRUE,,,,
flamengo,,,,,,,,Tamanho,G,flamengo-G,179.90,100,deny,manual,TRUE,,,,
flamengo,,,,,,,,Tamanho,GG,flamengo-GG,179.90,100,deny,manual,TRUE,,,,
flamengo,,,,,,,,Tamanho,XG,flamengo-XG,179.90,100,deny,manual,TRUE,,,,
fluminense,Fluminense,"<p>Camisa Fluminense — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,fluminense-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\fluminense\imagem-principal.jpg,1,Fluminense
fluminense,,,,,,,,Tamanho,M,fluminense-M,179.90,100,deny,manual,TRUE,,,,
fluminense,,,,,,,,Tamanho,G,fluminense-G,179.90,100,deny,manual,TRUE,,,,
fluminense,,,,,,,,Tamanho,GG,fluminense-GG,179.90,100,deny,manual,TRUE,,,,
fluminense,,,,,,,,Tamanho,XG,fluminense-XG,179.90,100,deny,manual,TRUE,,,,
fortaleza,Fortaleza,"<p>Camisa Fortaleza — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,fortaleza-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\fortaleza\imagem-principal.jpg,1,Fortaleza
fortaleza,,,,,,,,Tamanho,M,fortaleza-M,179.90,100,deny,manual,TRUE,,,,
fortaleza,,,,,,,,Tamanho,G,fortaleza-G,179.90,100,deny,manual,TRUE,,,,
fortaleza,,,,,,,,Tamanho,GG,fortaleza-GG,179.90,100,deny,manual,TRUE,,,,
fortaleza,,,,,,,,Tamanho,XG,fortaleza-XG,179.90,100,deny,manual,TRUE,,,,
gremio,Grêmio,"<p>Camisa Grêmio — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,gremio-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\gremio\imagem-principal.jpg,1,Grêmio
gremio,,,,,,,,Tamanho,M,gremio-M,179.90,100,deny,manual,TRUE,,,,
gremio,,,,,,,,Tamanho,G,gremio-G,179.90,100,deny,manual,TRUE,,,,
gremio,,,,,,,,Tamanho,GG,gremio-GG,179.90,100,deny,manual,TRUE,,,,
gremio,,,,,,,,Tamanho,XG,gremio-XG,179.90,100,deny,manual,TRUE,,,,
internacional,Internacional,"<p>Camisa Internacional — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,internacional-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\internacional\imagem-principal.jpg,1,Internacional
internacional,,,,,,,,Tamanho,M,internacional-M,179.90,100,deny,manual,TRUE,,,,
internacional,,,,,,,,Tamanho,G,internacional-G,179.90,100,deny,manual,TRUE,,,,
internacional,,,,,,,,Tamanho,GG,internacional-GG,179.90,100,deny,manual,TRUE,,,,
internacional,,,,,,,,Tamanho,XG,internacional-XG,179.90,100,deny,manual,TRUE,,,,
palmeiras,Palmeiras,"<p>Camisa Palmeiras — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,palmeiras-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\palmeiras\imagem-principal.jpg,1,Palmeiras
palmeiras,,,,,,,,Tamanho,M,palmeiras-M,179.90,100,deny,manual,TRUE,,,,
palmeiras,,,,,,,,Tamanho,G,palmeiras-G,179.90,100,deny,manual,TRUE,,,,
palmeiras,,,,,,,,Tamanho,GG,palmeiras-GG,179.90,100,deny,manual,TRUE,,,,
palmeiras,,,,,,,,Tamanho,XG,palmeiras-XG,179.90,100,deny,manual,TRUE,,,,
paysandu,Paysandu,"<p>Camisa Paysandu — modelo Fan. Coleção Brasileiro. Tecido de alta qualidade com tecnologia dry-fit. Disponível nos tamanhos P, M, G, GG e XG.</p>",Boleiro Store,Sporting Goods,Fan,"Brasileiro, Fan, Futebol",TRUE,Tamanho,P,paysandu-P,179.90,100,deny,manual,TRUE,active,C:\Users\seven\MazyOS\saidas\shopify-produtos-2026\imagens\BRASILEIRO\paysandu\imagem-principal.jpg,1,Paysandu
paysandu,,,,,,,,Tamanho,M,paysandu-M,179.90,100,deny,manual,TRUE,,,,
paysandu,,,,,,,,Tamanho,G,paysandu-G,179.90,100,deny,manual,TRUE,,,,
paysandu,,,,,,,,Tamanho,GG,paysandu-GG,179.90,100,deny,manual,TRUE,,,,
paysandu,,,,,,,,Tamanho,XG,paysandu-XG,179.90,100,deny,manual,TRUE,,,,
